"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
경상남도,창원마산회원구,내서읍,삼계리,A63085232,마산삼계2,"27,247","23,538","18,224","18,224",5,385,89,296,0,0,0,0
부산광역시,연제구,,연산동,A61108001,연산센트럴파크,"31,068","23,102","30,929","23,102",3,293,0,0,293,0,0,0
울산광역시,북구,,중산동,A68380902,이화제일그린파크,"16,802","16,802","16,562","13,787",1,180,0,0,180,0,0,0
경기도,평택시,안중읍,현화리,A45176505,안중현대3차,"52,426","46,994","46,994","35,528",6,418,0,0,418,0,0,0
전라남도,순천시,,조례동,A54032002,금당대림아파트,"38,684","33,063","34,896","29,782",4,280,0,0,0,140,84,56
대구광역시,달서구,,상인동,A70437018,상인제림타운,"46,312","36,693","39,431","29,063",3,435,0,315,120,0,0,0
서울특별시,금천구,,시흥동,A15303103,시흥성지,"23,439","16,436","22,539","16,436",2,233,0,49,184,0,0,0
전라북도,완주군,이서면,상개리,A56585301,이서 하늘가,"28,055","22,965","22,965","17,779",3,402,311,91,0,0,0,0
강원도,강릉시,,노암동,A21093206,노암3차한라아파트,"45,104","45,099","38,629","29,356",5,496,140,190,166,0,0,0
경기도,이천시,대월면,사동리,A46785502,현대5차,"26,864","21,536","26,008","21,536",4,296,0,144,152,0,0,0
서울특별시,강남구,,도곡동,A13527007,도곡1차아이파크,"65,079","65,079","36,256","36,256",5,321,0,0,123,0,0,198
서울특별시,양천구,,신정동,A15886402,신정대성유니드아파트2차,"21,041","13,421","17,081","13,421",2,186,0,92,94,0,0,0
경기도,시흥시,,하중동,A42925205,하중연성참이슬,"130,155","107,650","107,650","87,977",12,944,0,0,464,360,0,120
경기도,용인기흥구,,보정동,A44697610,동원로얄듀크,"113,281","109,955","89,084","71,070",13,706,0,0,476,0,0,230
경기도,광명시,,하안동,A42385302,하안주공7단지,"109,787","79,853","109,787","79,853",11,"1,342",0,"1,102",240,0,0,0
부산광역시,북구,,화명동,A61679206,벽산강변타운아파트,"118,240","99,394","107,152","84,878",12,"1,044",0,0,"1,044",0,0,0
경기도,의정부시,,호원동,A48077201,신일유토빌,"168,862","180,129","168,862","133,412",16,"1,432",0,262,752,0,264,154
경기도,동두천시,,생연동,A48303004,동두천상우,"25,490","22,476","25,490","19,824",2,252,0,1,221,15,15,0
경기도,의정부시,,장암동,A48003001,삼환나우빌,"21,544","21,544","18,690","13,700",2,162,0,0,162,0,0,0
경기도,고양덕양구,,주교동,A41280902,주교벽산,"40,085","28,428","30,684","23,744",3,283,0,70,163,0,50,0
부산광역시,중구,,영주동,A60011202,영주동금호타운,"34,054","30,794","30,010","23,398",1,322,0,138,184,0,0,0
서울특별시,노원구,,중계동,A13986111,중계라이프신동아청구아파트,"149,833","109,894","131,868","109,894",17,960,0,0,0,72,888,0
전라남도,광양시,광양읍,구산리,A54580101,광양삼익아파트,"21,406","20,176","21,406","17,502",2,206,0,0,206,0,0,0
대구광역시,동구,,봉무동,A70117001,봉무청구새들마을,"45,864","38,217","37,965","30,086",4,347,0,99,178,0,30,40
경기도,안양동안구,,평촌동,A43174208,초원대림,"114,814","94,855","101,504","79,206",12,"1,035",0,345,690,0,0,0
경상남도,김해시,,구산동,A62175904,이진캐스빌1단지,"78,135","54,627","54,592","41,995",8,510,0,0,474,0,32,4
